Area,Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total**,
West,Austria,39,41,35,37,30,27,34,24,33,25,856,
West,Belgium,63,66,75,73,64,49,65,43,,,2303,
Centre,Bulgaria,12,16,15,19,14,20,15,20,25,22,304,
Centre,Croatia,8,4,10,4,1,6,4,6,5,2,153,
Centre,Cyprus,6,6,7,4,5,5,4,1,1,4,128,
Centre,Czech Republic,9,11,14,11,13,12,13,12,12,14,175,
West,Denmark,29,16,16,18,23,40,22,21,17,27,773,
East,Estonia,8,10,17,10,7,9,16,10,8,15,140,
West,Finland,15,11,11,12,12,15,10,12,9,5,227,
West,France,611,547,594,511,529,441,491,373,351,214,20166,
West,Germany,197,185,152,158,120,155,131,121,103,44,4112,
West,Greece,41,36,45,36,31,33,38,28,28,28,981,
Centre,Hungary,11,5,5,8,4,7,6,10,12,7,159,
West,Iceland,1,0,0,0,1,2,1,0,0,0,15,
West,Ireland,22,14,13,15,12,17,20,18,20,13,362,
West,Italy,624,614,605,526,559,500,512,498,444,383,16930,
East,Latvia,21,22,25,32,36,34,55,37,59,58,463,
,Liechetenstein,0,0,0,0,0,0,1,0,0,0,3,
East,Lithuania,2,4,6,13,11,10,13,14,16,15,127,
West,Luxembourg,7,7,9,2,6,5,4,2,5,3,111,
West,Malta,2,2,5,1,6,3,5,0,2,1,38,
West,Netherlands,108,112,105,106,117,87,100,72,64,64,2078,
West,Norway,16,7,10,10,10,9,12,11,27,17,414,
Centre,Poland,35,27,34,24,51,43,35,35,34,22,649,
West,Portugal,457,447,445,387,416,366,336,295,194,146,8439,
Centre,Romania,109,124,127,120,112,166,145,141,177,196,2385,
Centre,Slovakia,1,3,1,1,1,1,3,4,2,3,32,
Centre,Slovenia,0,2,1,0,0,3,1,3,0,0,41,
West,Spain,536,491,535,493,414,366,345,264,205,171,15630,
West,Sweden,36,30,,,,,,,,,667,
West,United Kingdom,564,504,505,382,377,243,246,208,194,235,10306,
,United States,3590,3364,3422,3014,2982,2674,2683,2284,2047,1734,89167,
Centre,Albania,10,20,26,28,24,39,40,55,40,52,394,
West,Andorra,0,0,0,0,0,0,0,1,0,2,4,
East,Armenia,17,32,46,45,42,50,83,102,120,128,693,
East,Azerbaijan,6,55,14,34,38,44,68,57,85,93,519,
East,Belarus,103,99,145,254,246,305,348,344,309,333,2587,
Centre,Bosnia and Herzegovina,3,3,5,2,1,4,0,3,,,68,
Centre,"Former Yugoslav Republic of Macedonia, the",6,4,4,1,3,3,6,6,10,4,88,
East,Georgia,53,61,76,102,132,181,184,139,126,144,1294,
West,Israel,41,34,34,35,27,38,30,21,44,24,872,
East,Kazakhstan,18,35,48,45,69,80,75,82,90,97,672,
East,Kyrgyzstan,8,0,6,17,24,26,27,24,39,40,222,
East,Moldova,43,108,31,101,146,321,118,139,173,222,1455,
West,Monaco,0,0,0,0,0,0,0,0,0,0,6,
Centre,Montenegro,2,1,4,4,2,1,2,1,3,1,47,
East,Russia,,,,,,,,,,,0,
West,San Marino,0,0,0,0,0,0,0,0,0,0,5,
Centre,Serbia,18,9,13,9,12,17,9,9,11,12,393,
Centre,Serbia excluding Kosovo***,17,8,12,9,11,11,9,7,10,11,366,
Centre,Kosovo***,1,1,1,,1,6,,2,1,1,27,
West,Switzerland,85,84,74,75,84,69,49,53,30,26,2667,
East,Tajikistan,7,13,18,25,30,53,71,98,103,137,555,
Centre,Turkey,15,20,32,28,26,36,35,41,58,39,631,
East,Turkmenistan,0,0,0,0,0,0,0,,,,0,
East,Ukraine,1089,1265,1342,1509,2264,3944,4873,4875,5806,5250,33786,
East,Uzbekistan,2,6,51,40,68,,,,,,183,
,total Non EU-EEA,1526,1849,1969,2354,3238,5211,6018,6050,7047,6604,47141,
WHO European Region,,,,,,,,,,,,,
West,West,3494,3248,3268,2878,2838,2465,2451,2066,1770,1428,87962,
Centre,Centre,245,255,298,263,269,363,318,347,390,378,5647,
East,East,1377,1710,1825,2227,3113,5057,5931,5921,6934,6532,42696,
,total WHO European Region,5116,5213,5391,5368,6220,7885,8700,8334,9094,8338,136305,
