Area,Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Cumulative total***,
EU/EEA,,,,,,,,,,,,,
West,Austria,38,51,32,33,40,39,35,41,44,25,1511,
West,Belgium,39,69,56,52,56,69,65,80,67,60,2032,
Centre,Bulgaria,8,6,9,2,14,17,16,14,13,8,164,
Centre,Croatia,6,2,7,7,10,6,9,8,5,16,202,
Centre,Cyprus,4,3,0,3,3,4,5,3,4,4,117,
Centre,Czech Republic,6,11,14,11,10,13,15,12,14,9,238,
West,Denmark,18,19,3,9,3,6,2,4,0,1,2014,
East,Estonia,18,11,8,0,2,7,5,2,2,4,110,
West,Finland,16,5,11,22,23,21,30,21,20,24,443,
West,France,354,264,231,179,209,171,154,131,109,61,36418,
West,Germany,165,173,129,127,113,122,84,104,93,33,14627,
West,Greece,38,42,31,30,48,53,50,42,46,43,1891,
Centre,Hungary,7,12,11,11,15,17,11,11,19,11,404,
West,Iceland,1,0,0,0,0,1,1,0,0,0,39,
West,Ireland,8,6,3,5,5,4,1,1,1,4,415,
West,Italy,812,819,754,715,645,644,636,654,,,43684,
East,Latvia,40,47,58,69,57,80,88,107,45,53,761,
,Liechetenstein,0,0,0,0,0,0,0,0,0,0,6,
East,Lithuania,9,15,20,17,12,9,10,18,16,10,182,
West,Luxembourg,9,10,7,5,2,8,8,7,9,8,139,
West,Malta,7,1,0,0,0,1,2,0,1,1,62,
West,Netherlands,65,104,95,98,65,85,83,80,77,71,1586,
West,Norway,6,1,3,3,0,1,1,2,3,2,630,
Centre,Poland,43,61,71,46,53,68,57,45,41,35,1331,
West,Portugal,243,227,210,212,215,199,176,217,154,107,8693,
Centre,Romania,186,156,144,120,134,215,186,199,237,194,4204,
Centre,Slovakia,4,3,0,2,1,1,3,0,0,4,43,
Centre,Slovenia,0,3,5,1,2,1,1,5,3,3,100,
West,Spain,1034,1011,853,535,426,374,309,267,175,73,48216,
West,Sweden,8,6,,,,,,,,,1323,
West,United Kingdom,315,313,307,281,312,158,157,168,144,127,16364,
,United States,3507,3451,3072,2595,2475,2394,2200,2243,1342,991,187506,
Non-EU/EEA,,,,,,,,,,,,,
Centre,Albania,9,7,3,13,12,11,13,10,13,13,149,
West,Andorra,0,0,1,0,0,0,0,0,0,3,4,
East,Armenia,15,20,33,40,23,26,38,40,48,59,388,
East,Azerbaijan,21,43,43,27,45,41,47,32,41,28,452,
East,Belarus,139,143,177,151,146,158,188,129,169,113,1724,
Centre,Bosnia and Herzegovina,5,1,0,1,0,0,0,2,,,57,
Centre,"Former Yugoslav Republic of Macedonia, the",5,2,1,0,1,4,0,3,0,0,64,
East,Georgia,36,67,74,63,80,94,83,82,68,70,898,
West,Israel,37,40,30,24,23,32,22,30,25,15,938,
East,Kazakhstan,114,115,141,140,186,204,188,184,156,193,1934,
East,Kyrgyzstan,16,18,15,21,26,19,19,6,9,38,236,
East,Moldova,45,68,65,54,72,127,11,22,33,34,731,
West,Monaco,1,0,0,0,0,0,0,0,0,0,18,
Centre,Montenegro,1,2,1,2,4,2,1,1,2,6,47,
East,Russia,,,,,,,,,,,0,
West,San Marino,0,0,0,0,0,0,0,0,0,0,8,
Centre,Serbia,24,16,24,25,29,32,22,21,13,17,1135,
Centre,Serbia excluding Kosovo****,24,13,22,25,29,30,18,20,13,16,1093,
Centre,Kosovo****,0,3,2,0,0,2,4,1,0,1,42,
West,Switzerland,57,50,34,41,23,13,3,4,5,4,5896,
East,Tajikistan,12,12,24,31,36,39,46,42,47,31,325,
Centre,Turkey,2,0,0,0,0,0,0,10,11,4,99,
East,Turkmenistan,,,,,,,,,,,1,
East,Ukraine,2420,2507,2710,2591,3096,3744,3870,3514,3436,3032,35443,
East,Uzbekistan,9,19,124,40,66,,,,,,323,
,total Non EU-EEA,2968,3130,3500,3264,3868,4546,4551,4132,4076,3660,50870,
WHO European Region,,,,,,,,,,,,,
West,West,3271,3211,2790,2371,2208,2001,1819,1853,973,662,186951,
Centre,Centre,310,285,290,244,288,391,339,344,375,324,8354,
East,East,2894,3085,3492,3244,3847,4548,4593,4178,4070,3665,43507,
,total WHO European Region,6475,6581,6572,5859,6343,6940,6751,6375,5418,4651,238376,
